과정제공기관,과정명,교육시작일자,교육종료일자
통일교육원,북한의 정치·경제,2008-05-11,2008-05-24
국가공무원인재개발원,재난안전관리과정,2008-05-11,2008-05-24
통일교육원,북한의 사회·문화와 남북통합의 이해,2008-05-11,2008-05-24
국가공무원인재개발원,건강관리,2008-05-11,2008-05-24
국가공무원인재개발원,민원실무과정,2008-05-11,2008-05-24
통일교육원,통일문제의 이해,2008-05-11,2008-05-24
국가공무원인재개발원,행정법실무과정,2008-05-11,2008-05-24
국가공무원인재개발원,변혁적리더십과정,2008-05-11,2008-05-24
국가공무원인재개발원,고객만족도조사과정,2008-05-11,2008-05-24
국가공무원인재개발원,<고급>Presentation Skills,2008-05-11,2008-05-24
국가공무원인재개발원,개인정보보호와정보보안과정,2008-05-11,2008-05-24
국가공무원인재개발원,<초급>중국어,2008-05-11,2008-05-24
국가공무원인재개발원,실전변화관리과정,2008-05-11,2008-05-24
국가공무원인재개발원,물품관리실무과정,2008-05-11,2008-05-24
국가공무원인재개발원,대인관계,2008-05-11,2008-05-24
국가공무원인재개발원,6단계 코칭스킬향상,2008-05-11,2008-05-24
국가공무원인재개발원,회계실무과정,2008-05-11,2008-05-24
국가공무원인재개발원,리더십향상(사이버교육),2008-05-11,2008-05-24
국가공무원인재개발원,예산실무과정,2008-05-11,2008-05-24
국가공무원인재개발원,법제실무과정,2008-05-11,2008-05-24
국가공무원인재개발원,역량기초교육과정,2008-05-11,2008-05-24
국가공무원인재개발원,공문서작성을위한한글맞춤법과정,2008-05-11,2008-05-24
국가인권위원회,성차별예방과정,2008-05-13,2008-05-29
한국노동교육원,직업심리활용과정,2008-05-13,2008-05-16
국가인권위원회,차별예방(장애)과정,2008-05-13,2008-05-29
국가인권위원회,인권의이해과정,2008-05-13,2008-05-29
국가인권위원회,행정과인권과정,2008-05-13,2008-05-29
통일교육원,e-나라지표,2008-05-13,2008-05-13
통일교육원,e-나라지표,2008-05-13,2008-05-13
한국노동교육원,청소년 및 대학취업지원과정,2008-05-14,2008-05-16
한국노동교육원,성희롱예방전문과정,2008-05-14,2008-05-15
한국양성평등교육진흥원,성인지력향상과정,2008-05-14,2008-05-16
한국노동교육원,공무원 노사관계 전문가과정,2008-05-14,2008-05-16
행정안전부,표계산프로그램일반과정,2008-05-19,2008-06-13
한국노동교육원,노동통계실무과정,2008-05-19,2008-05-23
행정안전부,표계산프로그램중급Ⅱ(데이터베이스),2008-05-19,2008-06-06
노동부,클린 9.9 스마일 노동부,2008-05-19,2008-05-30
한국노동교육원,수사실무과정Ⅰ,2008-05-19,2008-05-23
국립국어원,국어전문교육과정,2008-05-19,2008-05-23
행정안전부,인터넷활용(행안부),2008-05-19,2008-05-23
교육과학기술연수원,"제2기 엑셀기본과정(교과연수원,5.19~230",2008-05-19,2008-05-23
지식경제공무원교육원,동영상촹영 및 편집과정,2008-05-19,2008-05-23
행정안전부,브리핑능력향상과프레젠테이션프로그램과정,2008-05-19,2008-06-13
한국양성평등교육진흥원,리더십향상과정(양성평등진흥원),2008-05-19,2008-05-23
지식경제공무원교육원,실무예제로 배우는 PPT활용과정,2008-05-19,2008-05-23
한국양성평등교육진흥원,양성평등과 지역사회정책과정,2008-05-19,2008-05-21
산업안전보건교육원,전기화재예방 및 방폭안전과정,2008-05-20,2008-05-22
한국노동교육원,노조법심화과정Ⅱ,2008-05-21,2008-05-23
한국노동교육원,근로기준법심화과정Ⅰ,2008-05-26,2008-05-30
한국노동교육원,관리자과정,2008-05-26,2008-05-30
지식경제공무원교육원,실무예제로 배우는 엑셀과정,2008-05-26,2008-05-30
국가정보대학원,국정원 북한정보과정,2008-05-26,2008-05-30
한국노동교육원,사례별 직업상담기법과정,2008-05-26,2008-05-30
노동부,고용보험업무실무,2008-05-26,2008-06-15
한국양성평등교육진흥원,성인지력향상과정,2008-05-26,2008-05-28
지식경제공무원교육원,PC구조이해과정,2008-05-26,2008-05-30
지식경제공무원교육원,엑셀을 활용한 엑세스기초과정,2008-05-26,2008-05-30
한국양성평등교육진흥원,양성평등정책과정,2008-05-26,2008-05-28
산업안전보건교육원,작업환경관리과정,2008-05-28,2008-05-30
지식경제공무원교육원,프리젠테이션(ⅰ)파워포인트2000과정,2008-06-01,2008-06-22
지식경제공무원교육원,문서작성실무(한글2002),2008-06-01,2008-06-22
지식경제공무원교육원,네트워크의실무과정,2008-06-01,2008-06-22
지식경제공무원교육원,윈도우xp와 인터넷활용,2008-06-01,2008-06-22
지식경제공무원교육원,웹활용실무(플래시기초)과정,2008-06-01,2008-06-22
지식경제공무원교육원,통계실무(Ⅱ)엑셀2003,2008-06-01,2008-06-22
지식경제공무원교육원,통계실무(Ⅰ)엑셀2000,2008-06-01,2008-06-22
지식경제공무원교육원,PC정보보호,2008-06-01,2008-06-22
행정안전부,디지털이미지편집,2008-06-01,2008-06-22
지식경제공무원교육원,이미지편집실무ⅱ포토샵CS,2008-06-01,2008-06-22
한국노동교육원,노조법심화과정Ⅰ,2008-06-02,2008-06-04
행정안전부,프레젠테이션프로그램고급(실무예제따라하기)(사),2008-06-02,2008-06-27
노동부,클린 9.9 스마일 노동부,2008-06-02,2008-06-13
노동부,산업안전보건법과정,2008-06-02,2008-06-20
노동부,노동사범수사실무,2008-06-02,2008-06-20
국가청렴위원회,사이버청렴교육과정,2008-06-02,2008-06-22
지식경제공무원교육원,회귀분석이해과정,2008-06-02,2008-06-30
행정안전부,디지털이미지편집,2008-06-02,2008-06-20
통계교육원,직업분류(사이버)과정,2008-06-02,2008-06-23
행정안전부,표계산프로그램고급(실무예제따라하기),2008-06-02,2008-06-27
산업안전보건교육원,밀폐공간작업안전,2008-06-02,2008-06-03
통계교육원,SAS(매크로 및 SQL),2008-06-02,2008-06-04
국립국어원,국어전문교육과정,2008-06-09,2008-06-13
행정안전부,제1기 PC안전관리 클리닉,2008-06-09,2008-06-13
한국노동교육원,직업상담심화과정,2008-06-09,2008-06-13
한국노동교육원,근로기준법심화과정Ⅰ,2008-06-09,2008-06-13
통계교육원,SPSS를이용한통계분석(BL)과정(집체),2008-06-09,2008-06-10
행정안전부,제2기 창의적 브리핑 스킬향상,2008-06-09,2008-06-13
감사교육원,회계관리자과정(감사교육원),2008-06-09,2008-06-13
지식경제공무원교육원,실무예제로 배우는 PPT활용과정,2008-06-09,2008-06-13
국가공무원인재개발원,정부조직관리과정,2008-06-11,2008-06-24
국가공무원인재개발원,커뮤니케이션스킬과정,2008-06-11,2008-06-24
국가공무원인재개발원,정책품질관리의이론과실제과정,2008-06-11,2008-06-24
국가공무원인재개발원,정보공개제도의이해과정,2008-06-11,2008-06-24
국가공무원인재개발원,판례와조문으로알아보는행정법과정,2008-06-11,2008-06-24
국가공무원인재개발원,중급영어회화과정,2008-06-11,2008-06-24
국가공무원인재개발원,토론의 이해과정,2008-06-11,2008-06-24
국가공무원인재개발원,정부규제개혁과정,2008-06-11,2008-06-24
국가공무원인재개발원,<초급>일본어,2008-06-11,2008-06-24
국가공무원인재개발원,행정법실무과정,2008-06-11,2008-06-24
국가공무원인재개발원,민법기초과정,2008-06-11,2008-06-24
국가공무원인재개발원,Facilitator역할과스킬과정,2008-06-11,2008-06-24
국가공무원인재개발원,<중급>Speech&Communication,2008-06-11,2008-06-24
국가공무원인재개발원,물품관리실무과정,2008-06-11,2008-06-24
통일교육원,통일문제의 이해,2008-06-11,2008-06-24
국가공무원인재개발원,민원실무과정,2008-06-11,2008-06-24
국가공무원인재개발원,역사에서배우는공직자의길,2008-06-11,2008-06-24
국가공무원인재개발원,액션리더십,2008-06-11,2008-06-24
국가공무원인재개발원,법제실무과정,2008-06-11,2008-06-24
국가공무원인재개발원,재무설계Ⅰ,2008-06-11,2008-06-24
국가공무원인재개발원,면접관역량과정,2008-06-11,2008-06-24
국가공무원인재개발원,6단계 코칭스킬향상,2008-06-11,2008-06-24
국가공무원인재개발원,대인관계,2008-06-11,2008-06-24
국가공무원인재개발원,알기쉬운공무원노사관계,2008-06-11,2008-06-24
국가공무원인재개발원,예산실무과정,2008-06-11,2008-06-24
국가공무원인재개발원,재무설계Ⅱ,2008-06-11,2008-06-24
국가공무원인재개발원,2007기획력,2008-06-11,2008-06-24
국가공무원인재개발원,실전변화관리과정,2008-06-11,2008-06-24
국가공무원인재개발원,홍보실무과정,2008-06-11,2008-06-24
국가공무원인재개발원,인사실무과정,2008-06-11,2008-06-24
국가공무원인재개발원,역량기초교육과정,2008-06-11,2008-06-24
국가공무원인재개발원,협상중재를통한갈등관리과정,2008-06-11,2008-06-24
국가공무원인재개발원,기록관리과정,2008-06-11,2008-06-24
국가공무원인재개발원,사무관리실무과정,2008-06-11,2008-06-24
국가공무원인재개발원,HRD 기본,2008-06-11,2008-06-24
국가공무원인재개발원,혁신사례연구과정,2008-06-11,2008-06-24
국가공무원인재개발원,속뜻풀이한자,2008-06-11,2008-06-24
국가공무원인재개발원,공직윤리와행동강령과정,2008-06-11,2008-06-24
국가공무원인재개발원,행정업무프로세스재설계과정,2008-06-11,2008-06-24
국가공무원인재개발원,리더십향상(사이버교육),2008-06-11,2008-06-24
국가공무원인재개발원,개인정보보호와정보보안과정,2008-06-11,2008-06-24
국가공무원인재개발원,변화관리과정,2008-06-11,2008-06-24
국가공무원인재개발원,보고서잘쓰는방법과정,2008-06-11,2008-06-24
국가공무원인재개발원,사례로배우는정책Ⅰ-의약분업,2008-06-11,2008-06-24
국가공무원인재개발원,성과관리와평가프로세스,2008-06-11,2008-06-24
국가공무원인재개발원,변혁적리더십과정,2008-06-11,2008-06-24
국가공무원인재개발원,고객만족도조사과정,2008-06-11,2008-06-24
국가공무원인재개발원,회계실무과정,2008-06-11,2008-06-24
국가공무원인재개발원,재난안전관리과정,2008-06-11,2008-06-24
국가공무원인재개발원,발표잘하는방법,2008-06-11,2008-06-24
국가공무원인재개발원,공문서작성을위한한글맞춤법과정,2008-06-11,2008-06-24
국가공무원인재개발원,의전실무과정,2008-06-11,2008-06-24
국가공무원인재개발원,행정절차제도의이해과정,2008-06-11,2008-06-24
국가공무원인재개발원,국회실무,2008-06-11,2008-06-24
통일교육원,북한의 정치·경제,2008-06-11,2008-06-24
국가공무원인재개발원,고위공무원단제도의이해과정,2008-06-11,2008-06-24
국가공무원인재개발원,건강관리,2008-06-11,2008-06-24
국가공무원인재개발원,자기주도적변화혁신과정,2008-06-11,2008-06-24
국가공무원인재개발원,자료수집및분석기법과정,2008-06-11,2008-06-24
통일교육원,북한의 사회·문화와 남북통합의 이해,2008-06-11,2008-06-24
국가공무원인재개발원,1기 e-사람 급여실무과정,2008-06-13,2008-06-13
국가인권위원회,차별예방(장애)과정,2008-06-13,2008-06-26
국가인권위원회,성차별예방과정,2008-06-13,2008-06-26
국가인권위원회,행정과인권과정,2008-06-13,2008-06-26
국가인권위원회,인권의이해과정,2008-06-13,2008-06-26
한국노동교육원,고용보험법해설과정,2008-06-16,2008-06-20
노동부,클린 9.9 스마일 노동부,2008-06-16,2008-06-27
행정안전부,멋진 보고서 꾸미기,2008-06-16,2008-06-20
한국노동교육원,사례별 직업상담기법과정,2008-06-16,2008-06-20
한국노동교육원,수사실무과정Ⅰ,2008-06-16,2008-06-20
산업안전보건교육원,굴착공사안전과정,2008-06-16,2008-06-18
행정안전부,인터넷활용(행안부),2008-06-16,2008-06-20
통일교육원,공직자통일교육과정(비상계획담당반),2008-06-16,2008-06-20
행정안전부,비상대비실무자교육과정,2008-06-16,2008-06-18
한국노동교육원,취업지원과정,2008-06-18,2008-06-20
산업안전보건교육원,전기안전과정,2008-06-18,2008-06-20
한국노동교육원,기업지원과정,2008-06-23,2008-06-25
통계교육원,프리젠테이션 기법향상,2008-06-23,2008-06-27
한국노동교육원,직업상담고급과정,2008-06-23,2008-06-27
유머경영연구소,펀 매니지먼트,2008-06-23,2008-06-23
노동부,고용보험업무실무,2008-06-23,2008-07-11
노동부,[이러닝]직장인의 필수! 회계지식,2008-06-23,2008-07-18
한국능률협회,팀리더십 스킬과정,2008-06-23,2008-06-25
노동부,[이러닝]고객만족(친절을 파는 10가지 원칙),2008-06-23,2008-07-18
노동부,[이러닝]성공하는 직장인을 위한 인간관계 클리닉,2008-06-23,2008-07-18
노동부,[이러닝]협상의 기술,2008-06-23,2008-07-18
노동부,[이러닝]Must Know 엑셀 Intermediate,2008-06-23,2008-07-18
노동부,[이러닝]이기는 습관(Winning Habit),2008-06-23,2008-07-18
행정안전부,실무중심의 이미지 편집,2008-06-23,2008-06-27
현대인재개발원,커뮤니케이션 능력향상과정,2008-06-23,2008-06-24
